date,region,product,units_sold,revenue,cost
2024-01-15,North,Widget A,120,2400.00,1440.00
2024-01-15,South,Widget A,85,1700.00,1020.00
2024-01-15,East,Widget B,200,6000.00,3200.00
2024-01-15,West,Widget B,150,4500.00,2400.00
2024-02-15,North,Widget A,130,2600.00,1560.00
2024-02-15,South,Widget A,95,1900.00,1140.00
2024-02-15,East,Widget B,180,5400.00,2880.00
2024-02-15,West,Widget B,170,5100.00,2720.00
2024-03-15,North,Widget C,60,3000.00,1500.00
2024-03-15,South,Widget C,45,2250.00,1125.00
2024-03-15,East,Widget A,110,2200.00,1320.00
2024-03-15,West,Widget A,90,1800.00,1080.00
2024-04-15,North,Widget B,210,6300.00,3360.00
2024-04-15,South,Widget B,160,4800.00,2560.00
2024-04-15,East,Widget C,75,3750.00,1875.00
2024-04-15,West,Widget C,55,2750.00,1375.00
2024-05-15,North,Widget A,140,2800.00,1680.00
2024-05-15,South,Widget A,100,2000.00,1200.00
2024-05-15,East,Widget B,220,6600.00,3520.00
2024-05-15,West,Widget B,190,5700.00,3040.00
2024-06-15,North,Widget C,80,4000.00,2000.00
2024-06-15,South,Widget C,50,2500.00,1250.00
2024-06-15,East,Widget A,125,2500.00,1500.00
2024-06-15,West,Widget A,105,2100.00,1260.00
